Id,Predicted
0,0 25 4 26
1,0 25 4
2,0 25 26
3,0 25
4,0
5,0 25
6,0 3 11 21
7,0 11
8,0 25
9,0 25
10,0 18 19 25
11,0 18 19 25
12,7
13,7 25
14,0 7 25
15,0 7 25
16,6 13
17,6 13
18,0 6
19,0 6 26
20,0 2 25
21,0 2 25
22,0 2 25
23,0 2 25
24,0 2 25
25,0 2 25
26,0 2 25
27,0 25
28,0 7 22 25
29,0 25
30,0
31,0
32,0
33,0
34, 
35, 
36,0
37,0 25
38,0
39, 
40,0 19
41,0
42,0 25
43,0 25 26
44,0 25
45,0 25 26
46,0 25 6
47,0 25 6
48,0 25 6
49,0 6 25
50,0 6 25 26
51,0 25 26
52,0 6 25 26
53,0 25 26
54,0 7 25
55,0 24 25
56,0 25 26
57,0 25 26
58,0 21 25 26
59,0 25 26
60,0 26
61,0 25 26
62,0 25
63,0 25
64,0
65,0
66,0
67,0
68,0 18 19
69,0 18 19
70,1
71,26
72,25
73,25 27
74,25
75,25
76,11
77,11
78,7 26
79,26
80,25 26
81,5 11 25 26
82,25
83,0 5 25
84,0 5 19 25
85,0 5 19 25
86,7 18 19
87,26
88,7 26
89,7 26
90,0 5 6 19
91,0 5 6 19
92,0 1
93,0
94,4 6 21
95,0 26
96,0 6 26
97,6 19 26
98,0 6 11 26
99,8 10 12 17 24
100,25 26
101,25 26
102,21 25 26
103,21
104,6 21
